painting,paintingLabel,creator,creatorLabel,movement,movementLabel,museum,museumLabel,image
http://www.wikidata.org/entity/Q9074362,Santo Domingo de Silos (Bartolomé Bermejo),http://www.wikidata.org/entity/Q3821456,Martín Bernat,http://www.wikidata.org/entity/Q4692,Renacimiento,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Santo%20Domingo%20de%20Silos%20entronizado%20como%20obispo%2C%20por%20Bartolom%C3%A9%20Bermejo.jpg
http://www.wikidata.org/entity/Q27697128,Fernando I de Castilla acogiendo a Santo Domingo de Silos,http://www.wikidata.org/entity/Q3821456,Martín Bernat,http://www.wikidata.org/entity/Q4692,Renacimiento,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Bernat-bermejo%20fernando%20I%20castilla.jpg
http://www.wikidata.org/entity/Q61911383,Altarpiece of Santo Domingo de Silos,http://www.wikidata.org/entity/Q3821456,Martín Bernat,http://www.wikidata.org/entity/Q4692,Renacimiento,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.St.Domingo%20Silos%20hipotesi%204130.jpg
http://www.wikidata.org/entity/Q2088930,La lechera de Burdeos,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q14378,neoclasicismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Goya%20MilkMaid.jpg
http://www.wikidata.org/entity/Q3937421,Los duques de Osuna y sus hijos,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q14378,neoclasicismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/Los%20duques%20de%20Osuna%20y%20sus%20hijos.jpg
http://www.wikidata.org/entity/Q5796865,Cómicos ambulantes,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q14378,neoclasicismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%B3micos%20ambulantes.jpg
http://www.wikidata.org/entity/Q9018501,La Duquesa de Alba y la Beata,http://www.wikidata.org/entity/Q5432,Francisco de Goya,http://www.wikidata.org/entity/Q14378,neoclasicismo,http://www.wikidata.org/entity/Q160112,Museo del Prado,http://commons.wikimedia.org/wiki/Special:FilePath/La%20duquesa%20de%20Alba%20y%20la%20Beata.jpg
http://www.wikidata.org/entity/Q23906730,Marina a la matinada,http://www.wikidata.org/entity/Q3028747,Dionisio Baixeras,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Baixeras%20-%20Marina%20de%20matinada.jpg
http://www.wikidata.org/entity/Q23906731,Pageseta,http://www.wikidata.org/entity/Q3028747,Dionisio Baixeras,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Baixeras%20-%20pageseta.jpg
http://www.wikidata.org/entity/Q23906736,Gabrielle,http://www.wikidata.org/entity/Q3081026,Francisco Miralles Galup,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Francesc%20Miralles%20-%20Gabrielle.jpg
http://www.wikidata.org/entity/Q23906738,Jeanne,http://www.wikidata.org/entity/Q3544236,Joan Brull,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Jeanne%20-%20Joan%20Brull%20i%20Vinyoles%20%281863-1912%29.jpg
http://www.wikidata.org/entity/Q23906741,Riallera,http://www.wikidata.org/entity/Q3544236,Joan Brull,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Riallera%20-%20Joan%20Brull%20i%20Vinyoles%20%281863-1912%29.jpg
http://www.wikidata.org/entity/Q23906742,Somrient,http://www.wikidata.org/entity/Q3544236,Joan Brull,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Primavera%20-%20Joan%20Brull%20i%20Vinyoles%20%281863-1912%29%20-%200.jpg
http://www.wikidata.org/entity/Q23906744,Seriosa,http://www.wikidata.org/entity/Q3544236,Joan Brull,http://www.wikidata.org/entity/Q34636,modernismo,http://www.wikidata.org/entity/Q428559,Museo de Montserrat,http://commons.wikimedia.org/wiki/Special:FilePath/Seriosa%20-%20Joan%20Brull%20i%20Vinyoles%20%281863-1912%29.jpg
